Solve Method,Duration(ms)
Breadth solved,16988
A* solved g/4,25937
Depth solved,22410
A* solved,38852
A* solved g(n)=0,31166
A* solved g/4,31117
Breadth solved,20618
A* solved g/2,31146
A* solved,59171
Depth solved,22849
A* solved g(n)=0,53498
A* solved g/2,53528
A* solved g/4,53492
Breadth solved,27605
A* solved g(n)=0,43297
Depth solved,33769
A* solved g/2,37945
A* solved,39281
Breadth solved,20186
A* solved g/4,37973
Depth solved,51963
Breadth solved,23293
A* solved g/4,27287
A* solved g/2,27264
A* solved,41519
A* solved g(n)=0,27242
Depth solved,19711
A* solved,30568
A* solved g/2,30453
A* solved g(n)=0,30413
A* solved g/4,30448
Breadth solved,15468
A* solved g/2,25223
A* solved g/4,19934
Breadth solved,18034
A* solved,30996
A* solved g(n)=0,20023
Depth solved,28329
A* solved g/4,31352
Breadth solved,22481
A* solved g(n)=0,26254
A* solved g/2,26244
Depth solved,14277
A* solved,41188
A* solved,17678
A* solved g/4,8923
Depth solved,45530
Breadth solved,7955
A* solved g/2,8945
A* solved g(n)=0,8949
Breadth solved,31447
Depth solved,20797
A* solved g(n)=0,40629
A* solved g/2,40704
A* solved,48701
A* solved g/4,40715
A* solved g(n)=0,32788
Depth solved,42209
Breadth solved,25273
A* solved,47041
A* solved g/4,27767
A* solved g/2,27740
Breadth solved,31156
Depth solved,39229
A* solved g/2,50032
A* solved g(n)=0,50069
A* solved,50941
A* solved g/4,50070
Breadth solved,20757
Depth solved,5068
A* solved g/4,20082
A* solved g/2,20129
A* solved,28097
A* solved g(n)=0,20104
A* solved g/2,22108
Depth solved,26214
A* solved g(n)=0,16923
Breadth solved,17494
A* solved g/4,16962
A* solved,29872
Depth solved,31018
A* solved g(n)=0,38694
A* solved,43791
Breadth solved,23162
A* solved g/2,38667
A* solved g/4,38718
A* solved g(n)=0,22947
Depth solved,25342
A* solved,32487
Breadth solved,17961
A* solved g/2,17784
A* solved g/4,17803
Breadth solved,17944
Depth solved,23089
A* solved g/4,20422
A* solved,24760
A* solved g/2,20452
A* solved g(n)=0,20073
A* solved g/4,45277
A* solved,44604
A* solved g(n)=0,40206
A* solved g/2,40105
Breadth solved,22838
Depth solved,16792
A* solved g/2,19871
Breadth solved,14980
A* solved g(n)=0,14599
A* solved,25560
A* solved g/4,14540
Depth solved,27613
Breadth solved,25151
A* solved g/2,37008
A* solved g(n)=0,36996
A* solved g/4,36993
Depth solved,33726
A* solved,39180
A* solved g/4,37334
Breadth solved,25835
A* solved g/2,32068
A* solved,49608
Depth solved,29538
A* solved g(n)=0,32080
A* solved g(n)=0,36190
A* solved,49543
A* solved g/2,31007
Depth solved,35758
A* solved g/4,31001
Breadth solved,25760
Breadth solved,32452
A* solved g/4,22347
A* solved g/2,22313
A* solved,52106
Depth solved,20820
